Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
Super Kings,Noor Ahmad,"₹2,00,00,000","₹10,00,00,000",Capped,Yes,No
Super Kings,Ravichandaran Ashwin,"₹2,00,00,000","₹9,75,00,000",Capped,No,No
Super Kings,Devon Conway,"₹2,00,00,000","₹6,25,00,000",Capped,Yes,No
Super Kings,Syed Khaleel Ahmed,"₹2,00,00,000","₹4,80,00,000",Capped,No,No
Super Kings,Rachin Ravindra,"₹1,50,00,000","₹4,00,00,000",Capped,Yes,Yes
Super Kings,Anshul Kamboj,"₹30,00,000","₹3,40,00,000",Uncapped,No,No
Super Kings,Rahul Tripathi,"₹75,00,000","₹3,40,00,000",Capped,No,No
Super Kings,Sam Curran,"₹2,00,00,000","₹2,40,00,000",Capped,Yes,No
Super Kings,Gurjapneet Singh,"₹30,00,000","₹2,20,00,000",Uncapped,No,No
Super Kings,Nathan Ellis,"₹1,25,00,000","₹2,00,00,000",Capped,Yes,No
Super Kings,Deepak Hooda,"₹75,00,000","₹1,70,00,000",Capped,No,No
Super Kings,Jamie Overton,"₹1,50,00,000","₹1,50,00,000",Capped,Yes,No
Super Kings,Vijay Shankar,"₹30,00,000","₹1,20,00,000",Uncapped,No,No
Super Kings,Vansh Bedi,"₹30,00,000","₹55,00,000",Uncapped,No,No
Super Kings,Andre Siddarth,"₹30,00,000","₹30,00,000",Uncapped,No,No
Super Kings,Shreyas Gopal,"₹30,00,000","₹30,00,000",Uncapped,No,No
Super Kings,Ramakrishna Ghosh,"₹30,00,000","₹30,00,000",Uncapped,No,No
Super Kings,Kamlesh Nagarkoti,"₹30,00,000","₹30,00,000",Uncapped,No,No
Super Kings,Mukesh Choudhary,"₹30,00,000","₹30,00,000",Uncapped,No,No
Super Kings,Shaik Rasheed,"₹30,00,000","₹30,00,000",Uncapped,No,No
Capitals,KL Rahul,"₹2,00,00,000","₹14,00,00,000",Capped,No,No
Capitals,Mitchell Starc,"₹2,00,00,000","₹11,75,00,000",Capped,Yes,No
Capitals,T. Natarajan,"₹2,00,00,000","₹10,75,00,000",Capped,No,No
Capitals,Jake Fraser-Mcgurk,"₹2,00,00,000","₹9,00,00,000",Capped,Yes,Yes
Capitals,Mukesh Kumar,"₹2,00,00,000","₹8,00,00,000",Capped,No,Yes
Capitals,Harry Brook,"₹2,00,00,000","₹6,25,00,000",Capped,Yes,No
Capitals,Ashutosh Sharma,"₹30,00,000","₹3,80,00,000",Uncapped,No,No
Capitals,Mohit Sharma,"₹50,00,000","₹2,20,00,000",Uncapped,No,No
Capitals,Faf Du Plessis,"₹2,00,00,000","₹2,00,00,000",Capped,Yes,No
Capitals,Sameer Rizvi,"₹30,00,000","₹95,00,000",Uncapped,No,No
Capitals,Donovan Ferreira,"₹75,00,000","₹75,00,000",Capped,Yes,No
Capitals,Dushmantha Chameera,"₹75,00,000","₹75,00,000",Capped,Yes,No
Capitals,Vipraj Nigam,"₹30,00,000","₹50,00,000",Uncapped,No,No
Capitals,Karun Nair,"₹30,00,000","₹50,00,000",Uncapped,No,No
Capitals,Madhav Tiwari,"₹30,00,000","₹40,00,000",Uncapped,No,No
Capitals,Tripurana Vijay,"₹30,00,000","₹30,00,000",Uncapped,No,No
Capitals,Manvanth Kumar L,"₹30,00,000","₹30,00,000",Uncapped,No,No
Capitals,Ajay Mandal,"₹30,00,000","₹30,00,000",Uncapped,No,No
Capitals,Darshan Nalkande,"₹30,00,000","₹30,00,000",Uncapped,No,No
Titans,Jos  Buttler,"₹2,00,00,000","₹15,75,00,000",Capped,Yes,No
Titans,Mohammad Siraj,"₹2,00,00,000","₹12,25,00,000",Capped,No,No
Titans,Kagiso Rabada,"₹2,00,00,000","₹10,75,00,000",Capped,Yes,No
Titans,Prasidh Krishna,"₹2,00,00,000","₹9,50,00,000",Capped,No,No
