Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2020,franchises buy 62 players at IPL 2020 Player Auction,Chennai Super Kings,1500000.0,8.0,24,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Delhi Capitals,90000000.0,8.0,22,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Kings XI Punjab,165000000.0,8.0,25,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Kolkata Knight Riders,85000000.0,8.0,23,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Mumbai Indians,19500000.0,8.0,24,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Rajasthan Royals,147500000.0,8.0,25,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Royal Challengers Bengaluru,64000000.0,8.0,21,No,No
2020,franchises buy 62 players at IPL 2020 Player Auction,Sunrisers Hyderabad,101000000.0,8.0,25,No,No
2020,Buys,Kolkata Knight Riders,,,"₹15,50,00,000",No,No
2020,Buys,Kings XI Punjab,,,"₹10,75,00,000",No,No
2020,Buys,Royal Challengers Bengaluru,,,"₹10,00,00,000",No,No
2020,Buys,Kings XI Punjab,,,"₹8,50,00,000",No,No
2020,Buys,Mumbai Indians,,,"₹8,00,00,000",No,No
2020,Buys,Delhi Capitals,,,"₹7,75,00,000",No,No
2020,Buys,Chennai Super Kings,,,"₹6,75,00,000",No,No
2020,Buys,Chennai Super Kings,,,"₹5,50,00,000",No,No
