Year,Team,Player,Base Price,Winning Bid,Capped/Uncapped,Overseas,RTM
2013,IPL 2013: IPL Auction,Chennai Super Kings,"$1,846,087",11,22,No,No
2013,IPL 2013: IPL Auction,Delhi Daredevils,"$655,978",11,26,No,No
2013,IPL 2013: IPL Auction,Kings XI Punjab,"$6,072,826",8,23,No,No
2013,IPL 2013: IPL Auction,Kolkata Knight Riders,"$1,508,696",11,23,No,No
2013,IPL 2013: IPL Auction,Mumbai Indians,"$341,739",11,28,No,No
2013,IPL 2013: IPL Auction,Pune Warriors India,"$804,130",11,33,No,No
2013,IPL 2013: IPL Auction,Rajasthan Royals,"$7,071,304",10,21,No,No
2013,IPL 2013: IPL Auction,Royal Challengers Bengaluru,"$711,522",10,31,No,No
2013,IPL 2013: IPL Auction,Sunrisers Hyderabad,"$5,583,696",11,26,No,No
2013,Buys,Mumbai Indians,Glenn Maxwell,All-Rounder,"$1,000,000",No,No
2013,Buys,Pune Warriors India,Ajantha Mendis,Bowler,"$725,000",No,No
2013,Buys,Pune Warriors India,Kane Richardson,Bowler,"$700,000",No,No
2013,Buys,Pune Warriors India,Abhishek Nayar,All-Rounder,"$675,000",No,No
2013,Buys,Sunrisers Hyderabad,Thisara Perera,All-Rounder,"$675,000",No,No
2013,Buys,Kolkata Knight Riders,Sachithra Senanayaka,All-Rounder,"$625,000",No,No
2013,Buys,Chennai Super Kings,Christopher Morris,All-Rounder,"$625,000",No,No
2013,Buys,Chennai Super Kings,Dirk Nannes,Bowler,"$600,000",No,No
2014,IPL 2014: IPL Auction,Chennai Super Kings,"₹20,00,000",9,25,No,No
2014,IPL 2014: IPL Auction,Delhi Daredevils,₹0,7,23,No,No
2014,IPL 2014: IPL Auction,Kings XI Punjab,"₹4,10,00,000",7,23,No,No
2014,IPL 2014: IPL Auction,Kolkata Knight Riders,"₹1,00,00,000",8,21,No,No
2014,IPL 2014: IPL Auction,Mumbai Indians,"₹5,00,000",8,21,No,No
2014,IPL 2014: IPL Auction,Rajasthan Royals,"₹5,55,00,000",8,25,No,No
2014,IPL 2014: IPL Auction,Royal Challengers Bengaluru,₹0,7,21,No,No
2014,IPL 2014: IPL Auction,Sunrisers Hyderabad,"₹1,00,00,000",7,24,No,No
2014,Buys,Royal Challengers Bengaluru,Yuvraj Singh,All-Rounder,"₹14,00,00,000",No,No
2014,Buys,Delhi Daredevils,Dinesh Karthik,Wicket Keeper,"₹12,50,00,000",No,No
2014,Buys,Delhi Daredevils,Kevin Pietersen,Batsman,"₹9,00,00,000",No,No
2014,Buys,Kings XI Punjab,Mitchell Johnson,All-Rounder,"₹6,50,00,000",No,No
2014,Buys,Kings XI Punjab,Glenn Maxwell,All-Rounder,"₹6,00,00,000",No,No
2014,Buys,Kolkata Knight Riders,Jacques Kallis,All-Rounder,"₹5,50,00,000",No,No
2014,Buys,Sunrisers Hyderabad,David Warner,Batsman,"₹5,50,00,000",No,No
2014,Buys,Kolkata Knight Riders,Robin Uthappa,Batsman,"₹5,00,00,000",No,No
2015,IPL 2015: IPL Auction,Chennai Super Kings,"₹70,00,000",9,25,No,No
2015,IPL 2015: IPL Auction,Delhi Daredevils,"₹1,35,00,000",9,25,No,No
2015,IPL 2015: IPL Auction,Kings XI Punjab,"₹9,20,00,000",7,22,No,No
2015,IPL 2015: IPL Auction,Kolkata Knight Riders,"₹9,20,00,000",9,23,No,No
2015,IPL 2015: IPL Auction,Mumbai Indians,"₹4,90,50,000",9,26,No,No
2015,IPL 2015: IPL Auction,Rajasthan Royals,"₹10,65,00,000",8,25,No,No
2015,IPL 2015: IPL Auction,Royal Challengers Bengaluru,"₹2,00,00,000",9,26,No,No
2015,IPL 2015: IPL Auction,Sunrisers Hyderabad,"₹9,35,00,000",8,23,No,No
2015,Buys,Delhi Daredevils,Yuvraj Singh,Batsman,"₹16,00,00,000",No,No
2015,Buys,Royal Challengers Bengaluru,Dinesh Karthik,Wicket Keeper,"₹10,50,00,000",No,No
2015,Buys,Delhi Daredevils,Angelo Mathews,All-Rounder,"₹7,50,00,000",No,No
2015,Buys,Delhi Daredevils,Zaheer Khan,Bowler,"₹4,00,00,000",No,No
2015,Buys,Sunrisers Hyderabad,Trent Boult,Bowler,"₹3,80,00,000",No,No
2015,Buys,Delhi Daredevils,Amit Mishra,Bowler,"₹3,50,00,000",No,No
2015,Buys,Mumbai Indians,Aaron Finch,Batsman,"₹3,20,00,000",No,No
2015,Buys,Kings XI Punjab,Murali Vijay,Batsman,"₹3,00,00,000",No,No
2016,IPL 2016: IPL Auction,Delhi Daredevils,"6,15,00,000",9,27,No,No
2016,IPL 2016: IPL Auction,Gujarat Lions,"10,35,00,000",7,24,No,No
